date,total_precipitation,temperature_2m,soil_moisture_layer1,solar_radiation,basin
2015-06-29,110.33662,23.88711,0.34049296379089355,83966.02,ganges_farakka
2015-06-30,109.169365,23.748064,0.35115423798561096,87931.4,ganges_farakka
2015-07-01,108.183136,24.237574,0.3452620804309845,96074.93,ganges_farakka
2015-07-02,66.81829,24.678965,0.33532795310020447,103205.71,ganges_farakka
2015-07-03,46.29594,25.312393,0.3262687027454376,109057.82,ganges_farakka
2015-07-04,41.46698,25.774317,0.31700220704078674,109418.76,ganges_farakka
2015-07-05,110.43191,25.490423,0.3168083727359772,100432.43,ganges_farakka
2015-07-06,159.0124,24.357874,0.32570070028305054,75328.84,ganges_farakka
2015-07-07,144.37297,23.673943,0.33647382259368896,69663.47,ganges_farakka
2015-07-08,140.37386,23.652222,0.3523228168487549,73864.1,ganges_farakka
2015-07-09,197.62498,23.319113,0.3737436830997467,70407.79,ganges_farakka
2015-07-10,221.62964,22.644058,0.3819887936115265,57888.38,ganges_farakka
2015-07-11,181.50671,22.427118,0.38160523772239685,55898.934,ganges_farakka
2015-07-12,102.24666,23.573298,0.37105968594551086,77930.914,ganges_farakka
2015-07-13,57.413406,24.423891,0.36456498503685,93008.17,ganges_farakka
2015-07-14,53.09763,25.235306,0.35780367255210876,99771.81,ganges_farakka
2015-07-15,102.36625,25.23884,0.35139572620391846,93226.484,ganges_farakka
2015-07-16,200.27504,24.149591,0.3494511544704437,73346.85,ganges_farakka
2015-07-17,135.1156,23.625132,0.35338595509529114,72999.38,ganges_farakka
2015-07-18,135.49924,23.37676,0.3689638376235962,75090.66,ganges_farakka
2015-07-19,167.33669,23.165283,0.3830479681491852,74959.71,ganges_farakka
2015-07-20,133.56624,22.986938,0.38616740703582764,71212.94,ganges_farakka
2015-07-21,121.07007,23.389236,0.3860655725002289,76455.73,ganges_farakka
2015-07-22,117.91272,23.483984,0.38342952728271484,77720.28,ganges_farakka
2015-07-23,149.6094,23.318853,0.385481595993042,76300.14,ganges_farakka
2015-07-24,173.15604,23.118914,0.3927061855792999,73779.945,ganges_farakka
2015-07-25,217.61705,22.87657,0.39228883385658264,72263.08,ganges_farakka
2015-07-26,159.13567,22.857193,0.3843376636505127,84168.45,ganges_farakka
2015-07-27,137.90736,23.108007,0.37369611859321594,86394.88,ganges_farakka
2015-07-28,112.37487,23.271193,0.3651106655597687,89700.266,ganges_farakka
2015-07-29,76.12355,23.326609,0.36034131050109863,85940.93,ganges_farakka
2015-07-30,82.31696,23.435074,0.3629072606563568,84985.58,ganges_farakka
2015-07-31,121.33885,22.684065,0.3752237856388092,71864.16,ganges_farakka
2015-08-01,151.32002,22.210257,0.3802931308746338,61432.31,ganges_farakka
2015-08-02,139.83275,22.447702,0.383960098028183,67457.22,ganges_farakka
2015-08-03,111.860855,23.153532,0.3828115463256836,81996.93,ganges_farakka
2015-08-04,99.01382,23.536926,0.38073769211769104,87493.49,ganges_farakka
2015-08-05,84.56136,23.206724,0.38067469000816345,79987.16,ganges_farakka
2015-08-06,82.90021,23.181684,0.37967967987060547,72710.61,ganges_farakka
2015-08-07,88.45331,23.380411,0.3832966089248657,74782.3,ganges_farakka
2015-08-08,95.037224,23.482199,0.38399574160575867,75291.39,ganges_farakka
2015-08-09,96.62129,23.881231,0.38287773728370667,85248.86,ganges_farakka
2015-08-10,112.21872,23.961252,0.3882562816143036,83047.7,ganges_farakka
2015-08-11,136.29971,23.424307,0.3940255641937256,70504.1,ganges_farakka
2015-08-12,84.22719,23.646582,0.3965594470500946,80685.56,ganges_farakka
2015-08-13,103.05364,23.570917,0.3995295763015747,76305.13,ganges_farakka
2015-08-14,118.27287,23.473028,0.40406009554862976,77029.9,ganges_farakka
2015-08-15,133.35509,23.244226,0.4095183312892914,72877.586,ganges_farakka
2015-08-16,135.16641,23.063879,0.40729331970214844,67676.33,ganges_farakka
2015-08-17,156.647,23.042109,0.40622350573539734,65792.91,ganges_farakka
2015-08-18,134.63867,22.904852,0.40383419394493103,64080.027,ganges_farakka
2015-08-19,110.49239,23.209879,0.39732345938682556,77353.18,ganges_farakka
2015-08-20,107.81243,23.229212,0.38588783144950867,84309.07,ganges_farakka
2015-08-21,86.61852,22.842398,0.3797941207885742,82762.92,ganges_farakka
2015-08-22,63.634926,22.753439,0.37602341175079346,87428.47,ganges_farakka
2015-08-23,54.317333,23.015783,0.3722362518310547,91384.11,ganges_farakka
2015-08-24,38.8461,23.387922,0.36606159806251526,94267.17,ganges_farakka
